,cfile,RvsdgConstructionTime[ns],#RvsdgNodes,#PointsToGraphNodes,#PointsToGraphAllocaNodes,#PointsToGraphDeltaNodes,#PointsToGraphImportNodes,#PointsToGraphLambdaNodes,#PointsToGraphMallocNodes,#PointsToGraphMemoryNodes,#PointsToGraphRegisterNodes,#PointsToGraphEdges,AndersenAnalysisTimer[ns],AndersenSetBuildingTimer[ns],AndersenOVSTimer[ns],AndersenWorklistTimer[ns],PointsToGraphConstructionTimer[ns],#SimpleAllocas,#NonReentrantAllocas,#ExtModRefSets,#ExtModRefCompressed,#ExtModRefKept,#LocalModRefSets,#LocalModRefKept,CallGraphTimer[ns],AllocasDeadInSccsTimer[ns],SimpleAllocasSetTimer[ns],NonReentrantAllocaSetsTimer[ns],CreateExternalModRefSetTimer[ns],AnnotationTimer[ns],SolvingTimer[ns],ExternalCompactionTimer[ns],#IntraProceduralRegions,#TotalAllocaStateArguments,#TotalMallocStateArguments,#TotalDeltaStateArguments,#TotalImportStateArguments,#TotalLambdaStateArguments,#TotalExternalStateArguments,#TotalNonEscapedStateArguments,#MaxMemoryStateArguments,#MaxNonEscapedMemoryStateArguments,#LoadOperations,#TotalAllocaStatesThroughLoad,#TotalMallocStatesThroughLoad,#TotalDeltaStatesThroughLoad,#TotalImportStatesThroughLoad,#TotalLambdaStatesThroughLoad,#TotalExternalStatesThroughLoad,#TotalNonEscapedStatesThroughLoad,#MaxMemoryStatesThroughLoad,#MaxNonEscapedMemoryStatesThroughLoad,#StoreOperations,#TotalAllocaStatesThroughStore,#TotalMallocStatesThroughStore,#TotalDeltaStatesThroughStore,#TotalImportStatesThroughStore,#TotalLambdaStatesThroughStore,#TotalExternalStatesThroughStore,#TotalNonEscapedStatesThroughStore,#MaxMemoryStatesThroughStore,#MaxNonEscapedMemoryStatesThroughStore,#CallEntryMergeOperations,#TotalAllocaStatesIntoCallEntryMerge,#TotalMallocStatesIntoCallEntryMerge,#TotalDeltaStatesIntoCallEntryMerge,#TotalImportStatesIntoCallEntryMerge,#TotalLambdaStatesIntoCallEntryMerge,#TotalExternalStatesIntoCallEntryMerge,#TotalNonEscapedStatesIntoCallEntryMerge,#MaxMemoryStatesIntoCallEntryMerge,#MaxNonEscapedMemoryStatesIntoCallEntryMerge,MemoryStateEncodingTime[ns],#TotalLoads,#LoadsForwarded,SvfTracingTime[ns],SvfForwardingTime[ns],StoreValueForwardingTime[ns],TransformationPass-000-RvsdgTreePrinter-#RvsdgNodesBefore,TransformationPass-001-PredicateCorrelation-#RvsdgNodesBefore,TransformationPass-002-CommonNodeElimination-#RvsdgNodesBefore,TransformationPass-003-InvariantValueRedirection-#RvsdgNodesBefore,TransformationPass-004-DeadNodeElimination-#RvsdgNodesBefore,TransformationPass-005-RvsdgTreePrinter-#RvsdgNodesBefore,TransformationPass-006-PointsToAnalysisStateEncoder-#RvsdgNodesBefore,TransformationPass-007-RvsdgTreePrinter-#RvsdgNodesBefore,TransformationPass-008-StoreValueForwarding-#RvsdgNodesBefore,TransformationPass-009-RvsdgTreePrinter-#RvsdgNodesBefore,TransformationPass-010-CommonNodeElimination-#RvsdgNodesBefore,TransformationPass-011-InvariantValueRedirection-#RvsdgNodesBefore,TransformationPass-012-NodeReduction-#RvsdgNodesBefore,TransformationPass-013-DeadNodeElimination-#RvsdgNodesBefore,TransformationPass-014-RvsdgTreePrinter-#RvsdgNodesBefore,#RvsdgNodesAfterSequence,OptimizationTime[ns],TransformationPass-000-RvsdgTreePrinter-Timer[ns],TransformationPass-001-PredicateCorrelation-Timer[ns],TransformationPass-002-CommonNodeElimination-Timer[ns],TransformationPass-003-InvariantValueRedirection-Timer[ns],TransformationPass-004-DeadNodeElimination-Timer[ns],TransformationPass-005-RvsdgTreePrinter-Timer[ns],TransformationPass-006-PointsToAnalysisStateEncoder-Timer[ns],TransformationPass-007-RvsdgTreePrinter-Timer[ns],TransformationPass-008-StoreValueForwarding-Timer[ns],TransformationPass-009-RvsdgTreePrinter-Timer[ns],TransformationPass-010-CommonNodeElimination-Timer[ns],TransformationPass-011-InvariantValueRedirection-Timer[ns],TransformationPass-012-NodeReduction-Timer[ns],TransformationPass-013-DeadNodeElimination-Timer[ns],TransformationPass-014-RvsdgTreePrinter-Timer[ns],RvsdgDestructionTime[ns],Tree4-NumAllocaNodes,Tree4-NumStoreNodes,Tree4-NumLoadNodes,Tree4-NumMemoryStateTypeArguments,Tree0-NumAllocaNodes,Tree0-NumStoreNodes,Tree0-NumLoadNodes,Tree0-NumMemoryStateTypeArguments,Tree3-NumAllocaNodes,Tree3-NumStoreNodes,Tree3-NumLoadNodes,Tree3-NumMemoryStateTypeArguments,Tree1-NumAllocaNodes,Tree1-NumStoreNodes,Tree1-NumLoadNodes,Tree1-NumMemoryStateTypeArguments,Tree2-NumAllocaNodes,Tree2-NumStoreNodes,Tree2-NumLoadNodes,Tree2-NumMemoryStateTypeArguments,Configuration,RegionAwareModRefSummarizerTime[ns],TotalTime[ns],#TotalMemoryStateArguments,#TotalMemoryStatesThroughLoad,#TotalMemoryStatesThroughStore,#TotalMemoryStatesIntoCallEntryMerge
10,redist2017-502.gcc+mkstemps.c,828823,336,46,9,3,6,1,0,20,26,169,356437,239828,17850,29620,44929,8,8,24,0,84,74,68,22140,3270,850,3310,720,66109,18710,18470,20,73,0,12,0,0,14,71,11,9,46,37,0,3,0,0,2,36,2,1,25,23,0,2,0,0,7,18,2,1,7,7,0,0,0,0,7,0,2,0,214708,46,35,68399,35659,187628,398,398,398,398,336,336,336,344,344,298,298,298,293,277,258,258,3480692,230488,25670,319957,44110,170628,139639,998452,157479,191388,131279,267418,31430,382446,175819,131379,299987,1,9,11,38,9,25,46,18,9,25,11,97,9,25,46,18,9,25,46,97,RegionAwareModRef,133579,4609502,99,42,32,14
11,redist2017-502.gcc+tree-ssa-loop.c,1640977,971,335,17,36,43,33,0,130,205,6062,1087541,688084,58240,127399,157848,17,17,84,3154,139,122,132,69439,24900,1600,10680,2610,140339,210158,117219,87,36,0,0,70,0,54,36,6,1,54,18,0,0,35,0,8,18,2,1,35,34,0,0,1,0,0,34,1,1,40,0,0,0,16,0,40,0,4,0,448936,54,18,59970,11130,224889,1029,1029,1029,1029,971,971,971,1099,1099,1064,1064,1064,1064,1030,975,975,9279764,737064,40769,565996,92479,414056,571975,2899916,692665,227149,564636,530075,88479,564486,452876,570355,997871,0,1,36,113,17,35,54,85,17,35,36,149,17,35,54,85,17,35,54,149,RegionAwareModRef,576945,11918612,160,61,35,56
12,redist2017-526.blender+blender_source_blender_editors_space_graph_graph_utils.c,1816845,621,163,40,0,9,5,0,55,108,1848,750434,471606,35380,79179,120219,32,32,73,519,311,163,161,47589,8080,2030,6460,1300,155369,88289,67500,73,306,0,0,13,0,57,208,11,8,80,88,0,0,6,0,16,54,3,1,51,51,0,0,0,0,0,51,1,1,25,42,0,0,4,0,25,0,3,0,597576,80,54,243629,67819,634685,714,714,714,714,621,621,621,649,649,548,548,548,548,508,438,438,8123923,456646,51980,711564,92380,371537,342008,2454439,380647,639545,335738,708014,72709,592775,444616,307188,720874,8,0,26,159,40,51,80,69,37,40,26,367,40,51,80,69,40,51,80,367,RegionAwareModRef,376617,10661642,376,110,51,71
13,redist2017-507.cactuBSSN+CactusBindings_Parameters_ML_BSSN_Parameters.c,7249230,6760,580,0,283,3,2,0,289,291,2022,5562794,4919569,45600,203488,321457,0,0,208,416,208,0,0,274358,1530,2560,560,1230,152788,41290,39220,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,206,0,1,0,753784,0,0,0,0,582706,7992,7992,7992,7992,6760,6760,6760,7176,7176,7176,7176,7176,7176,7176,7176,7176,71018776,4328554,132499,13664637,552415,3003395,2672278,10557813,2714778,586256,3270473,12771015,466926,4853261,3687629,3482612,6671355,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,RegionAwareModRef,513536,84939361,2,0,0,206
14,redist2017-502.gcc+tree-cfgcleanup.c,16102768,4829,1345,216,8,58,80,0,363,982,59570,10293105,6346838,923573,1132681,1484928,206,206,784,11687,3835,1120,1278,2044473,1180851,9480,142458,2780,3338583,2110023,1619327,555,2858,0,156,240,0,493,2141,32,26,721,761,0,55,119,0,173,546,8,6,299,328,0,8,10,0,11,308,7,6,323,719,0,123,151,0,305,216,14,8,8516140,719,467,1374587,741496,7306190,5731,5731,5731,5731,4887,4829,4829,5406,5406,4423,4423,4423,4413,4215,3870,3870,155312658,5865842,424397,11723544,2893936,8219143,4467773,50348758,8138293,7391619,7249911,14524181,3104095,9806970,11677154,5106298,12565357,39,46,252,2388,216,299,729,537,159,236,252,3632,216,299,721,537,216,298,719,3632,RegionAwareModRef,10447975,183980783,3747,1108,357,1298
15,ghostscript-10.04.0+base_sjbig2.c,5715722,2737,514,66,31,18,14,0,130,384,17727,3325352,2367690,190788,259748,388556,65,65,331,241,596,432,426,383467,36070,3150,25600,1060,822083,138909,159888,160,409,0,0,0,0,144,357,9,8,422,307,0,0,0,0,152,270,2,1,137,98,0,0,0,0,49,87,2,1,52,18,0,0,0,0,52,0,2,0,2158732,422,274,761053,199110,2395140,3222,3222,3222,3222,2739,2737,2737,2801,2801,2307,2307,2307,2242,2174,2053,2053,37768932,2060632,166498,4208585,897512,2354650,1412728,11278815,1656037,2417460,1447238,2872426,393936,2623678,1848184,1172820,2841166,1,50,148,195,66,137,423,148,49,117,148,552,66,137,422,148,65,136,422,552,RegionAwareModRef,1570227,46325820,553,459,147,70
16,redist2017-526.blender+blender_source_blender_nodes_shader_node_shader_util.c,5145557,1701,344,72,4,7,13,0,97,247,5057,2088953,1383419,141838,200609,275138,66,66,229,1114,613,389,392,161758,52750,3150,12300,1450,517545,183199,154469,154,524,0,0,0,0,130,422,14,9,302,286,0,0,0,0,91,207,5,1,136,95,0,0,0,0,42,91,2,1,24,39,0,0,0,0,24,0,5,0,1663766,302,209,649844,344136,2411540,2052,2052,2052,2052,1711,1701,1701,1703,1703,1305,1305,1305,1288,1219,1100,1100,27784338,2114273,154859,3174243,521045,1222860,828583,7559788,1097541,2441739,1018442,2649338,319117,1751206,1381549,735443,1844105,6,45,93,221,72,136,302,144,53,112,93,643,72,136,302,144,70,134,302,643,RegionAwareModRef,1086621,34774000,654,377,137,63
17,emacs-29.4+src_fileio.c,101298470,28446,6367,969,230,230,202,0,1632,4735,2215942,64269450,41405275,5268927,5803113,9811651,912,912,3127,393965,22350,6673,5922,10986141,13451561,99609,652335,16210,27324709,42439286,25077357,2395,14315,0,331,3694,0,1775,9408,117,105,3805,5645,0,109,2389,0,761,2568,12,1,1616,1622,0,27,121,0,63,1379,12,1,2064,2697,0,102,1971,0,1299,7,12,1,45864809,3793,2529,18728524,12969858,65877886,32635,32635,32635,32635,28511,28446,28446,31190,31190,25916,25916,25916,25539,24576,22793,22793,1203695552,56748120,6361438,89656705,19233544,73382046,42573555,356904190,51118406,67575352,52314376,104118296,19332473,77637011,80621457,43281679,90371678,82,290,1266,11029,969,1616,3807,2247,721,1254,1266,19976,969,1616,3805,2247,957,1598,3795,19976,RegionAwareModRef,120047208,1395365700,20115,8904,1833,6069
18,redist2017-526.blender+spec_gl.c,4786360,2362,936,304,1,3,135,0,444,492,14303,2741377,1665526,166609,354287,431937,304,304,405,0,810,743,743,282597,64680,11140,135329,1300,705524,163398,140329,135,0,0,0,135,0,135,0,2,0,135,0,0,0,135,0,0,0,1,0,304,304,0,0,0,0,0,304,1,1,270,0,0,0,270,0,270,0,2,0,2594538,135,0,102899,0,866002,2543,2543,2543,2543,2362,2362,2362,1833,1833,1833,1833,1833,1833,1833,1833,1833,30690433,1749765,154299,3541031,561185,1547047,955122,12985501,1510127,867742,986222,2012584,301838,867312,984532,994181,4081515,0,0,135,135,304,304,135,135,0,0,135,135,304,304,135,135,0,0,135,135,RegionAwareModRef,1504297,39558308,270,135,304,540
19,redist2017-525.x264+encoder_set.c,12739217,6753,460,97,23,8,27,0,156,304,6873,8982428,7239092,388947,407097,733105,97,97,796,0,1149,1134,1062,1611007,423286,4280,33670,1210,3324623,543306,803503,367,697,0,0,0,0,291,697,10,9,1177,810,0,0,0,0,326,810,1,1,252,137,0,0,0,0,115,137,1,1,198,0,0,0,0,0,190,0,1,0,7113583,1177,852,5340982,772702,11340198,8323,8323,8323,8323,6787,6753,6753,7088,7088,5492,5492,5492,5256,5151,4975,4975,134958525,6688767,512416,12544789,3395543,9245966,5837243,41466856,5547305,11433188,4672152,9837301,1763806,7344151,6815465,3549001,8808709,1,113,323,288,97,252,1177,315,67,218,325,992,97,252,1177,315,95,250,1177,992,RegionAwareModRef,6744885,156506451,988,1136,252,190
20,gdb-15.2+libiberty_getopt.c,6810,0,1,0,0,0,0,0,1,0,1,30180,970,4250,6250,3200,0,0,0,0,0,0,0,3770,1560,900,610,1220,120,1770,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213558,71919,400,6300,1480,3620,11880,62040,11200,2080,9229,620,190,2610,530,10290,6030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RegionAwareModRef,10170,226398,0,0,0,0
21,redist2017-526.blender+blender_source_blender_editors_animation_anim_ops.c,2467679,1394,311,41,16,46,14,0,118,193,11517,1348299,890082,55390,146889,192599,40,40,159,421,256,228,229,90769,12020,2140,13390,1160,262498,71859,81590,76,113,0,0,23,0,56,112,5,4,156,123,0,0,13,0,30,120,3,1,84,54,0,0,6,0,33,51,3,1,62,8,0,0,15,0,62,0,3,0,692534,156,121,628844,59960,1036752,1601,1601,1601,1601,1394,1394,1394,1503,1503,1247,1247,1247,1241,1214,1166,1166,12110940,708374,80249,1107821,178279,615625,539195,3653250,578545,1042112,496336,798833,126249,788074,581595,472616,1143281,1,33,35,76,41,84,156,76,17,60,35,188,41,84,156,76,40,83,156,188,RegionAwareModRef,535426,15721900,192,166,93,85
